School-High,School-Elementary,School-Alternative,School-Junior High/Middle,School-College or University,School-K-12,School-Other Facility
Roosevelt,Green Lake,McDonald Intl,Billings,UW,Bush,Stadium/Athletic Office
Garfield,Madrona ,Nova,LWGMS,Seattle U,Bush,Stadium/Athletic Office
Franklin,Kimball ,HRS,Asa Mercer,SSC Georgetown,Bush,John Stanford Center
Newport,Enatai,FASPS,Tyee,Bellevue College,Bush,Mot
Thomas Jefferson,Meredith Hill,Open Doors,Kilo,Green R Coll - Auburn,Holy Innocents,Admin Annex
Rainier Christian,Covington,Phoenix Academy,Mattson,GRC,Muckleshoot Tribal,Admin
Bellevue Christian,Clyde Hill,Emerson K-12,Chinook,Seattle U Eastside ,Bush,Mot
Adventist Academy,Benjamin Franklin,Stella Schola,Rose Hill Middle,Bellevue College-North Campus,Bear Creek,Admin
Juanita,Woodmoor,Futures,Northshore,UW Bothell,Cedar Park Christian,Support Service Center
Nathan Hale,John Rogers ,Cedar Park,Jane Addams,Bastyr,Shoreline Christian,Transportation
Tahoma High,Glacier Park,Phoenix Academy,Summit Trail,GRC,Muckleshoot Tribal,Admin
Kentlake,Grass Lake,Phoenix Academy,Cedar Heights,GRC,Muckleshoot Tribal,Admin
Skyline,Endeavor,Renaissance,Beaver Lake,Bellevue College,Bear Creek,Admin
Sammamish,Phantom Lake,Big Picture,Tillicum,Bellevue College,Bear Creek,Admin
Seattle Lutheran,Genesee Hill,Pathfinder,James Madison,South Seattle College,Bush,John Stanford Center
Blanchet,Northgate,Middle College at Northgate,Robert Eagle Staff,North Seattle College,Shoreline Christian,Transportation
Tahoma High,Glacier Park,Phoenix Academy,Summit Trail,GRC,Muckleshoot Tribal,Admin
Tahoma High,Glacier Park,Phoenix Academy,Summit Trail,GRC,Muckleshoot Tribal,Admin
Tahoma High,Glacier Park,Phoenix Academy,Summit Trail,GRC,Muckleshoot Tribal,Admin
South Lake,Makkah Islamic,Interagency Academy,Aki Kurose,SSC Georgetown,Bush,John Stanford Center
Hazen,Maplewood Heights,Renton Academy,Maywood,Renton Tech,Renton Christian,Transportation/Maintenance
Lakeside High,Olympic Hills,Hazel Wolf,Lakeside Middle,North Seattle College,Shoreline Christian,Transportation
Seattle Prep ,St. Anne,Queen Anne,Worth McClure,Seattle Pacific U,Bush,Stadium/Athletic Office
Auburn Adventist,Chinook,Phoenix Academy,Olympic,GRC,Muckleshoot Tribal,Admin Center
NW Yeshiva,Kennydale,Jing Mei,Risdon,Renton Tech,Renton Christian,Transportation/Maintenance
Hazen,Kennydale,Jing Mei,McKnight,Renton Tech,Renton Christian,Transportation/Maintenance
Chief Sealth,Gatewood,Louisa Boren,David T. Denny Intl,South Seattle College,Bush,John Stanford Center
Decatur,Brigadoon,Federal Way Public Academy,TAFA at Saghalie,Green R Coll - Auburn,Christian Faith,Admin
Ballard,Our Lady of Fatima,Cascade PPP,Worth McClure,Seattle Pacific U,Bush,Stadium/Athletic Office
Decatur,Adelaide,Truman Campus,Lakota,Highline College,Internet Academy,Federal Way Memorial Field
Ballard,Loyal Heights,Salmon Bay,Whitman,North Seattle College,Shoreline Christian,Stadium/Athletic Office
Ballard,Loyal Heights,Salmon Bay,Whitman,North Seattle College,Shoreline Christian,Stadium/Athletic Office
Mercer Island,West Mercer,Crest Learning Center,Seattle Girls,Seattle U Eastside ,Bush,Mot
Thomas Jefferson,Star Lake,Open Doors,Totem,Highline College,Holy Innocents,Federal Way Memorial Field
Decatur,Brigadoon,Federal Way Public Academy,TAFA at Saghalie,Highline College,Christian Faith,Federal Way Memorial Field
Tahoma High,Tahoma Elementary,Gibson Ek,Summit Trail,Renton Tech,Muckleshoot Tribal,Maint
Mount Si ,Opstad,Two Rivers,Twin Falls,Bellevue College,Bear Creek,Camp Waskowitz
Seattle Prep ,Bertschi,TOPS,Edmond S. Meany,UW-HUB,Bush,Stadium/Athletic Office
Ballard,Whittier,Salmon Bay,Whitman,Seattle Pacific U,Shoreline Christian,Stadium/Athletic Office
Woodinville,Bear Creek,Overlake,Timbercrest,UW Bothell,Chrysalis,Support Service Center
Mercer Island,Enatai,FASPS,Tyee,Seattle U Eastside ,Bush,Mot
Lindbergh,Benson Hill,Renton Academy,Meeker,City University,Renton Christian,Admin
Lindbergh,Ridgewood,Renton Academy,Northwood,Renton Tech,Renton Christian,Transportation/Maintenance
Ballard,Loyal Heights,Salmon Bay,Whitman,North Seattle College,Shoreline Christian,Stadium/Athletic Office
Mount Rainier,Parkside,Big Picture,Pacific,Highline College,Mountain View,Federal Way Memorial Field
Redmond High,Cottage Lake,Overlake,Timbercrest,Lake Washington IT,Woodinville Montessori,Support Service Center
