num_cultural_spaces,id
13,7129300520.0
37,6414100192.0
10,5631500400.0
11,2487200875.0
11,1954400510.0
2,7237550310.0
11,1321400060.0
11,
7,2414600126.0
14,3793500160.0
61,1736800520.0
12,9212900260.0
11,114101516.0
62,6054650070.0
41,1175000570.0
6,9297300055.0
206,1875500060.0
12,6865200140.0
4,16000397.0
77,7983200060.0
13,6300500875.0
4,2524049179.0
2,7137970340.0
1,8091400200.0
11,3814700200.0
170,1202000200.0
394,1794500383.0
61,3303700376.0
4,5101402488.0
11,1873100390.0
21,8562750320.0
105,2426039314.0
90,461000390.0
1,7589200193.0
115,7955080270.0
14,9547205180.0
144,9435300030.0
2,2768000400.0
3,7895500070.0
10,2078500320.0
12,5547700270.0
2,7766200013.0
138,7203220400.0
1,9270200160.0
6,1432701230.0
3,8035350320.0
20,8945200830.0
121,4178300310.0
5,9215400105.0
6,822039084.0
8,5245600105.0
89,7231300125.0
62,7518505990.0
95,3626039271.0
110,4217401195.0
3,9822700295.0
3,9478500640.0
3,2799800710.0
2,7922800400.0
2,8079040320.0
3,1516000055.0
10,9558200045.0
165,5072410070.0
297,9528102996.0
122,1189001180.0
8,3253500160.0
0,3394100030.0
3,3717000160.0
12,1274500060.0
12,1802000060.0
11,1525059190.0
20,1049000060.0
4,8820901275.0
1,5416510140.0
2,3444100400.0
7,3276920270.0
36,4036801170.0
74,2391600320.0
2,6300000287.0
2,1531000030.0
3,5104520400.0
82,7437100340.0
3,9418400240.0
31,1523059105.0
169,1133000671.0
9,4232902595.0
1,2599001200.0
1,3342103156.0
30,1332700270.0
0,3869900162.0
82,2791500270.0
8,5036300431.0
85,4168000060.0
85,6021501535.0
7,6021501535.0
0,1483300570.0
1,3422049190.0
0,1099611230.0
0,722079104.0
239,7338200240.0
112,1952200240.0
5,5200100125.0
9,7214720075.0
3,2450000295.0
0,6197800045.0
91,1328310370.0
4,546000875.0
3,3530510041.0
9,1853000400.0
11,3134100116.0
151,9545230140.0
4,3362400511.0
84,2525310310.0
62,6126500060.0
145,
11,3626039325.0
7,3362400431.0
142,4060000240.0
2,3454800060.0
3,1695900060.0
67,7278700070.0
32,6675500070.0
14,3626039187.0
15,3524049083.0
8,3275860240.0
1,4389200955.0
182,4058801670.0
1,8732020310.0
11,2331300505.0
3,
2,3668000070.0
111,9545240070.0
8,1243100136.0
4,8929000270.0
8,2767602356.0
22,921049315.0
113,3655000070.0
212,4027700812.0
5,3992700335.0
2,2767603505.0
54,4232901525.0
5,1777500060.0
6,1432900240.0
226,6140100875.0
0,6071600370.0
2,1526069017.0
124,809001525.0
126,3224079105.0
124,8075400570.0
10,1994200024.0
9,3362900810.0
121,1324300398.0
1,537000445.0
3,7855801670.0
3,7920100045.0
9,8960000030.0
1,6388930390.0
15,8731900200.0
4,8029200135.0
13,1081200350.0
6,84000105.0
0,3756500060.0
6,7215720160.0
5,3574800520.0
3,2617300160.0
5,2558660270.0
22,2009000370.0
14,1836980160.0
1,3261020370.0
13,1755700060.0
12,4330600435.0
3,9542800700.0
365,1999700045.0
241,1762600070.0
360,1687900520.0
9,7234600798.0
27,3881900445.0
2,2254502445.0
33,5437810320.0
15,9158100075.0
6,3830630310.0
9,8123100045.0
15,3127200041.0
2,6661200320.0
9,11510310.0
186,825059270.0
16,8731951370.0
6,1954440060.0
8,2264500350.0
5,1115810060.0
13,9477200200.0
18,1432600560.0
2,2287000060.0
90,3663500060.0
40,3996900125.0
1,7796450200.0
2,7549802535.0
1,3278600320.0
1,2824079053.0
72,1222069094.0
2,3542300060.0
3,2222059065.0
3,7551300060.0
33,100600550.0
13,3211100860.0
75,
4,9526600140.0
103,7465900060.0
10,1222000055.0
5,6300000550.0
48,2310030510.0
6,1025049114.0
9,8677300550.0
12,4014400292.0
109,1102000196.0
45,257000138.0
7,46100204.0
5,1909600046.0
11,1250202145.0
9,7611200125.0
7,5611500140.0
12,7138000260.0
0,626059335.0
0,1922059282.0
3,705700390.0
1,7454001200.0
6,8682281200.0
1,7972000200.0
10,722059070.0
4,7202340400.0
89,8096000060.0
11,2424000060.0
0,9264902050.0
351,943100260.0
0,3677400445.0
5,1762600320.0
11,4058000060.0
21,7228500560.0
121,326069104.0
9,5152100060.0
169,3584000310.0
1,8150100045.0
1,1868901275.0
19,6131600075.0
6,9468200125.0
134,8029510030.0
0,2025069065.0
0,7899800890.0
0,3021059276.0
50,3797001895.0
2,3832710960.0
88,1310430400.0
38,1422300030.0
1,1105000588.0
1,3830630060.0
5,5101404898.0
196,7972601890.0
5,5127001620.0
11,9407100800.0
282,1873100060.0
7,8722101360.0
0,8644000060.0
70,3325069129.0
106,1400300055.0
0,2123039032.0
9,8078560140.0
1,3438500192.0
63,7974200510.0
9,2557000400.0
11,7960900060.0
59,4054500390.0
1,6378500125.0
2,1745100140.0
9,2976800796.0
6,4235400186.0
50,4215100060.0
8,9189700045.0
13,1126049053.0
160,2022069200.0
2,9412900055.0
11,1722059235.0
1,6874200960.0
10,7424700045.0
4,7202360350.0
4,5634500392.0
6,1509500060.0
2,7214810350.0
4,6647200060.0
0,9552700140.0
4,2200500350.0
40,6113400046.0
12,6619910140.0
3,1115450240.0
2,6073240060.0
94,9297300045.0
