nearest_hoods,dist_hoods
Green Lake Neighborhood,0.7171084539549002
Greenwood Neighborhood,0.4814305559330189
Fremont Neighborhood,0.5702744890929313
Twin Lakes Neighborhood,4.22204182176129
Newport Hills Neighborhood,1.1664275419638073
Wedgewood Neighborhood,0.50412918672024
Fairwood Neighborhood,1.0334944027185422
Renton Highlands Neighborhood,1.5947418930200365
Twin Lakes Neighborhood,1.1226148847168245
"Covington, Timberlane Neighborhood",11.575608261109387
Fairwood Neighborhood,2.4644123534090108
White Center Neighborhood,2.2328355503791526
Kingsgate Neighborhood,1.268615129330024
Eastgate Neighborhood,5.756201735557262
Finn Hill Neighborhood,0.3897279060367048
Fairwood Neighborhood,6.190270451221344
Kingsgate Neighborhood,0.7981626711982324
Kent East Hill Neighborhood,6.34432228815694
Eastgate Neighborhood,1.0618655811309603
Finn Hill Neighborhood,1.7072538343764347
Bitter Lake Neighborhood,1.9320948931537172
White Center Neighborhood,2.859201042386475
Twin Lakes Neighborhood,1.2376650859012486
Bitter Lake Neighborhood,3.040047625457242
Sand Point Neighborhood,4.483289137950883
Eastgate Neighborhood,1.225386535931365
Capitol Hill Neighborhood,0.5962391541935688
Mount Baker Neighborhood,0.7327029550969908
Central District,0.6599982563070051
"Covington, Timberlane Neighborhood",12.199585101114735
Bitter Lake Neighborhood,0.12756334029398222
Kent East Hill Neighborhood,1.8627846754033193
Morgan Junction Neighborhood,0.6881623363057187
Finn Hill Neighborhood,2.094462326451878
"Covington, Timberlane Neighborhood",3.69664411205047
Kingsgate Neighborhood,4.072525864621127
Sand Point Neighborhood,3.7677519758740483
Twin Lakes Neighborhood,0.7431672744348254
Eastgate Neighborhood,5.473569573573739
Fremont Neighborhood,0.45468703861749354
Kingsgate Neighborhood,4.717180576322602
Kingsgate Neighborhood,0.8019231410895901
Fairwood Neighborhood,1.7821913395443516
Newport Hills Neighborhood,1.8517693813199023
Bitter Lake Neighborhood,2.7370367477458566
Lake City Neighborhood,2.0037453981211497
Twin Lakes Neighborhood,3.3527255995842467
Georgetown Neighborhood,0.29075452677501246
Morgan Junction Neighborhood,0.75984029922942
Eastgate Neighborhood,11.024252447660958
"Covington, Timberlane Neighborhood",6.247985121814295
Renton Highlands Neighborhood,0.5540067113249816
Kent East Hill Neighborhood,1.7616144465388983
Ballard Neighborhood,0.5628309525543056
Twin Lakes Neighborhood,1.3819445492402191
Renton Highlands Neighborhood,1.8839411145871243
Newport Hills Neighborhood,2.028822926828054
Kingsgate Neighborhood,3.307892038911914
Admiral Neighborhood,0.6035855668184081
White Center Neighborhood,3.996998827303276
Northgate Neighborhood,0.9263401057054997
"Covington, Timberlane Neighborhood",2.844157099881589
Wedgewood Neighborhood,0.8195332836937221
Eastgate Neighborhood,6.342974515207414
Kent East Hill Neighborhood,5.066728513355708
Rainier Valley Neighborhood,0.377021752455215
Rainier Beach Neighborhood,2.7357976667751944
Newport Hills Neighborhood,1.873184186520387
White Center Neighborhood,1.1988346518225241
Mount Baker Neighborhood,0.34304842087323
Bitter Lake Neighborhood,0.8045232784058001
Eastgate Neighborhood,5.374655259593448
Kent East Hill Neighborhood,4.871588850984668
North Creek Neighborhood,1.7901267075567375
Kent East Hill Neighborhood,0.7421350720161549
"Covington, Timberlane Neighborhood",4.30493439330727
White Center Neighborhood,0.952003096101996
Kingsgate Neighborhood,7.733545300930749
Twin Lakes Neighborhood,1.8876233319925568
Kent East Hill Neighborhood,2.479703113929309
Kingsgate Neighborhood,7.496138549529471
White Center Neighborhood,4.775847634797145
Renton Highlands Neighborhood,1.5013992714316873
Twin Lakes Neighborhood,2.5443766995259045
Eastgate Neighborhood,11.28185335163256
Beacon Hill Neighborhood,0.16153229466525892
Sand Point Neighborhood,4.400056236979231
"Covington, Timberlane Neighborhood",7.418871651217472
Central District,0.3853534068012202
North Creek Neighborhood,7.142683294400536
Twin Lakes Neighborhood,3.5775134008530562
Twin Lakes Neighborhood,3.46198565986626
Morgan Junction Neighborhood,1.1040154889616627
Wedgewood Neighborhood,0.4585066160788278
Kent East Hill Neighborhood,3.5487174206734666
Greenwood Neighborhood,0.8835382836779655
Twin Lakes Neighborhood,0.5318718920899057
