X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR,FEATUREDES,OSPI_CODE
-122.300220289585866,47.389780483246689,127,1359,382215,School-College or University,Highline College,Highline College,2400 S 240th St,98198,-122.30022312,47.38977862,10,HIGHLINE,1622049016,162204,9016,School-College or University,0
-122.299846115747286,47.590959456514042,128,1169,452716,School-Elementary,Thurgood Marshall Elementary School,Thurgood Marshall,2401 S Irving St,98144,-122.29984793,47.59095759,10,SEATTLE,9344400300,934440,0300,School-Elementary,2141
-122.198658930708632,47.457818199229656,129,669,593856,School-Junior High/Middle,Nelson Middle School,Nelson,2403 Jones Ave S,98055,-122.19866137,47.45781613,10,RENTON,2923059061,292305,9061,School-Junior High/Middle,0
-122.30148770056897,47.332569151873038,130,106,2365,School-Elementary,Wildwood Elementary School,Wildwood,2405 S 300th St,98003,-122.30149085,47.3325673,10,FEDERAL WAY,0421049167,042104,9167,School-Elementary,3583
-122.304220841346478,47.640634442585331,131,944,420683,School-Elementary,Montlake Elementary School,Montlake,2409 22nd Ave E,98112,-122.30422244,47.64063259,10,SEATTLE,6788200735,678820,0735,School-Elementary,2322
-122.300867371047474,47.608349687142642,132,2352,433942,School-Alternative,Nova High School,Nova,2410 E Cherry St,98122,-122.30086911,47.60834783,10,SEATTLE,0519000290,051900,0290,School-Alternative,3868
-122.191386303337381,47.632148868340543,133,114,65,School-Elementary,Bellevue Montessori School,Bellevue Montessori,2411 112th Ave NE,98004,-122.1913879,47.63214681,20,BELLEVUE,2025059182,202505,9182,School-Elementary,0
-122.017262675506231,47.618670189447137,134,652,12221,School-Junior High/Middle,Inglewood Middle School,Inglewood,24120 NE 8th St,98074,-122.01726422,47.61866779,10,LAKE WASHINGTON,2725069065,272506,9065,School-Junior High/Middle,4386
-122.047045177949244,47.383869658777293,135,527,9261,School-Elementary,Lake Wilderness Elementary School,Lake Wilderness,24216 Witte Rd SE,98038,-122.047048,47.38386724,10,TAHOMA,2122069054,212206,9054,School-Elementary,3286
-122.015120639967662,47.407608469318994,136,533,620377,School-Elementary,Tahoma Elementary School,Tahoma Elementary,24425 SE 216th St,98038,-122.01512331,47.40760597,10,TAHOMA,1122069027,112206,9027,School-Elementary,3341
-122.330845189696916,47.581923713949408,137,6600703,765619,School-Alternative,Skills Center High School,Skills Center,2445 3rd Ave S,98134,-122.33084705,47.58192189,10,SEATTLE,7666205235,766620,5235,School-Alternative,
-122.282154142561225,47.38054765252442,138,439,615649,School-Elementary,Sunnycrest Elementary School,Sunnycrest,24629 42nd Ave S,98032,-122.28215703,47.38054576,10,FEDERAL WAY,2222049146,222204,9146,School-Elementary,3567
-122.324176704259017,47.642286058093148,139,6600212,837474,School-Alternative,TOPS K-8 School (The Option Program at Seward),TOPS,2500 Franklin Ave E,98102,-122.32417829,47.64228424,10,SEATTLE,1959700005,195970,0005,School-Alternative,1579
-122.165914126317716,47.514265697130035,140,715,732782,School-Elementary,Sierra Heights Elementary School,Sierra Heights,2501 Union Ave NE,98059,-122.16591625,47.51426355,10,RENTON,0423059069,042305,9069,School-Elementary,3668
-122.005691569626435,47.579902902986575,141,2212,2412,School-Junior High/Middle,Beaver Lake Middle School,Beaver Lake,25025 SE 32nd St,98029,-122.0056933,47.57990044,10,ISSAQUAH,1124069091,112406,9091,School-Junior High/Middle,4460
